title;doi;received month;received year;accepted month;accepted year;published month;published year;issued month;issued year;received - accepted;accepted - published;published - issued
Somatic sex identity is cell autonomous in the chicken;https://doi.org/10.1038/nature08852;August;2009;January;2010;;;March;2010;161;;
A human gut microbial gene catalogue established by metagenomic sequencing;https://doi.org/10.1038/nature08821;August;2009;December;2009;;;March;2010;131;;
Systems survey of endocytosis by multiparametric image analysis;https://doi.org/10.1038/nature08779;December;2008;December;2009;February;2010;March;2010;381;73;11
Orm family proteins mediate sphingolipid homeostasis;https://doi.org/10.1038/nature08787;August;2009;December;2009;;;February;2010;116;;
Active site remodelling accompanies thioester bond formation in the SUMO E1;https://doi.org/10.1038/nature08765;October;2009;December;2009;;;February;2010;56;;
Variability in gene expression underlies incomplete penetrance;https://doi.org/10.1038/nature08781;April;2009;December;2009;;;February;2010;255;;
Signatures of mutation and selection in the cancer genome;https://doi.org/10.1038/nature08768;April;2009;December;2009;February;2010;;;242;66;
The landscape of somatic copy-number alteration across human cancers;https://doi.org/10.1038/nature08822;June;2009;December;2009;;;February;2010;204;;
Remarkably ancient balanced polymorphisms in a multi-locus gene network;https://doi.org/10.1038/nature08791;May;2009;December;2009;February;2010;March;2010;210;64;15
The primary transcriptome of the major human pathogen Helicobacter pylori;https://doi.org/10.1038/nature08756;August;2009;December;2009;February;2010;March;2010;130;65;22
Rfx6 directs islet formation and insulin production in mice and humans;https://doi.org/10.1038/nature08748;June;2009;December;2009;;;February;2010;160;;
Neural bases for addictive properties of benzodiazepines;https://doi.org/10.1038/nature08758;July;2009;December;2009;;;February;2010;146;;
Ancient human genome sequence of an extinct Palaeo-Eskimo;https://doi.org/10.1038/nature08835;November;2009;January;2010;;;February;2010;49;;
Genome sequencing and analysis of the model grass Brachypodium distachyon;https://doi.org/10.1038/nature08747;August;2009;December;2009;;;February;2010;102;;
An aspartyl protease directs malaria effector proteins to the host cell;https://doi.org/10.1038/nature08728;July;2009;December;2009;;;February;2010;127;;
Plasmepsin V licenses Plasmodium proteins for export into the host erythrocyte;https://doi.org/10.1038/nature08726;July;2009;December;2009;;;February;2010;130;;
Odorant reception in the malaria mosquito Anopheles gambiae;https://doi.org/10.1038/nature08834;August;2009;January;2010;February;2010;March;2010;149;19;29
Retroviral intasome assembly and inhibition of DNA strand transfer;https://doi.org/10.1038/nature08784;November;2009;January;2010;January;2010;March;2010;57;25;39
Systemic signals regulate ageing and rejuvenation of blood stem cell niches;https://doi.org/10.1038/nature08749;August;2009;December;2009;January;2010;;;102;52;
Direct conversion of fibroblasts to functional neurons by defined factors;https://doi.org/10.1038/nature08797;October;2009;January;2010;January;2010;February;2010;89;21;29
Structure of a bacterial homologue of vitamin K epoxide reductase;https://doi.org/10.1038/nature08720;June;2009;November;2009;January;2010;January;2010;182;58;1
A synchronized quorum of genetic clocks;https://doi.org/10.1038/nature08753;August;2009;December;2009;;;January;2010;106;;
Genome sequence of the palaeopolyploid soybean;https://doi.org/10.1038/nature08670;August;2009;November;2009;;;January;2010;85;;
Coupled chaperone action in folding and assembly of hexadecameric Rubisco;https://doi.org/10.1038/nature08651;June;2009;November;2009;;;January;2010;137;;
Targeting Bcr–Abl by combining allosteric with ATP-binding-site inhibitors;https://doi.org/10.1038/nature08675;March;2009;November;2009;January;2010;January;2010;232;63;15
Ubiquitin-like small archaeal modifier proteins (SAMPs) in Haloferax volcanii;https://doi.org/10.1038/nature08659;September;2009;November;2009;;;January;2010;43;;
Tetrapod trackways from the early Middle Devonian period of Poland;https://doi.org/10.1038/nature08623;July;2009;October;2009;;;January;2010;100;;
Opposing microRNA families regulate self-renewal in mouse embryonic stem cells;https://doi.org/10.1038/nature08725;April;2009;December;2009;January;2010;February;2010;237;30;29
The chromatin remodeller ACF acts as a dimeric motor to space nucleosomes;https://doi.org/10.1038/nature08621;August;2009;October;2009;;;December;2009;66;;
Dynamics of nucleosome remodelling by individual ACF complexes;https://doi.org/10.1038/nature08627;August;2009;November;2009;;;December;2009;81;;
Complex landscapes of somatic rearrangement in human breast cancer genomes;https://doi.org/10.1038/nature08645;July;2009;November;2009;;;December;2009;108;;
The transcriptional network for mesenchymal transformation of brain tumours;https://doi.org/10.1038/nature08712;September;2009;November;2009;December;2009;January;2010;89;23;29
Reprogramming towards pluripotency requires AID-dependent DNA demethylation;https://doi.org/10.1038/nature08752;June;2009;December;2009;December;2009;February;2010;187;7;66
Parental origin of sequence variants associated with complex diseases;https://doi.org/10.1038/nature08625;August;2009;October;2009;;;December;2009;76;;
The SUMO modification pathway is involved in the BRCA1 response to genotoxic stress;https://doi.org/10.1038/nature08593;May;2009;October;2009;;;December;2009;155;;
Probabilistic assessment of sea level during the last interglacial stage;https://doi.org/10.1038/nature08686;February;2009;November;2009;;;December;2009;257;;
Growth landscape formed by perception and import of glucose in yeast;https://doi.org/10.1038/nature08653;July;2009;November;2009;;;December;2009;131;;
A comprehensive catalogue of somatic mutations from a human cancer genome;https://doi.org/10.1038/nature08658;July;2009;November;2009;December;2009;January;2010;97;42;29
A small-cell lung cancer genome with complex signatures of tobacco exposure;https://doi.org/10.1038/nature08629;September;2009;October;2009;December;2009;January;2010;43;47;29
The sequence and de novo assembly of the giant panda genome;https://doi.org/10.1038/nature08696;August;2009;November;2009;December;2009;January;2010;97;19;39
Encounter and extrusion of an intrahelical lesion by a DNA repair enzyme;https://doi.org/10.1038/nature08561;May;2009;October;2009;;;December;2009;140;;
Preventing the return of fear in humans using reconsolidation update mechanisms;https://doi.org/10.1038/nature08637;August;2009;November;2009;December;2009;January;2010;73;34;29
Detection of sequential polyubiquitylation on a millisecond timescale;https://doi.org/10.1038/nature08595;September;2009;October;2009;;;December;2009;24;;
X-ray structure, symmetry and mechanism of an AMPA-subtype glutamate receptor;https://doi.org/10.1038/nature08624;August;2009;November;2009;November;2009;December;2009;69;27;11
Structure of the outer membrane complex of a type IV secretion system;https://doi.org/10.1038/nature08588;June;2009;October;2009;November;2009;December;2009;115;41;25
Structure and hydration of membranes embedded with voltage-sensing domains;https://doi.org/10.1038/nature08542;July;2009;September;2009;;;November;2009;73;;
Structure of the formate transporter FocA reveals a pentameric aquaporin-like channel;https://doi.org/10.1038/nature08610;August;2009;October;2009;;;November;2009;71;;
Cancer-associated IDH1 mutations produce 2-hydroxyglutarate;https://doi.org/10.1038/nature08617;July;2009;October;2009;November;2009;December;2009;106;24;18
Transport mechanism of a bacterial homologue of glutamate transporters;https://doi.org/10.1038/nature08616;July;2009;October;2009;November;2009;December;2009;97;20;29
Direct inhibition of the NOTCH transcription factor complex;https://doi.org/10.1038/nature08543;January;2009;September;2009;;;November;2009;239;;
Direct cell reprogramming is a stochastic process amenable to acceleration;https://doi.org/10.1038/nature08592;June;2009;October;2009;November;2009;December;2009;125;18;25
A gate–latch–lock mechanism for hormone signalling by abscisic acid receptors;https://doi.org/10.1038/nature08613;October;2009;October;2009;November;2009;December;2009;11;10;27
Combinatorial binding predicts spatio-temporal cis-regulatory activity;https://doi.org/10.1038/nature08531;July;2009;September;2009;;;November;2009;63;;
An oestrogen-receptor-α-bound human chromatin interactome;https://doi.org/10.1038/nature08497;July;2009;September;2009;;;November;2009;48;;
Predicting new molecular targets for known drugs;https://doi.org/10.1038/nature08506;April;2009;September;2009;November;2009;November;2009;160;48;11
The role of DNA shape in protein–DNA recognition;https://doi.org/10.1038/nature08473;July;2009;September;2009;;;October;2009;40;;
Crystal structure of a bacterial homologue of the kidney urea transporter;https://doi.org/10.1038/nature08558;June;2009;October;2009;October;2009;December;2009;101;20;43
Structural basis of abscisic acid signalling;https://doi.org/10.1038/nature08583;September;2009;October;2009;October;2009;December;2009;20;10;41
Pten in stromal fibroblasts suppresses mammary epithelial tumours;https://doi.org/10.1038/nature08486;May;2009;September;2009;;;October;2009;101;;
Genome evolution and adaptation in a long-term experiment with Escherichia coli;https://doi.org/10.1038/nature08480;July;2009;August;2009;October;2009;October;2009;50;51;11
Intracellular dynamics of hippocampal place cells during virtual navigation;https://doi.org/10.1038/nature08499;July;2009;September;2009;;;October;2009;69;;
Asymmetric centrosome inheritance maintains neural progenitors in the neocortex;https://doi.org/10.1038/nature08435;June;2009;August;2009;;;October;2009;49;;
Human DNA methylomes at base resolution show widespread epigenomic differences;https://doi.org/10.1038/nature08514;June;2009;September;2009;October;2009;November;2009;94;23;36
SSB protein diffusion on single-stranded DNA stimulates RecA filament formation;https://doi.org/10.1038/nature08442;March;2009;August;2009;October;2009;October;2009;154;52;11
RNA polymerase II–TFIIB structure and mechanism of transcription initiation;https://doi.org/10.1038/nature08548;August;2009;October;2009;October;2009;November;2009;38;8;41
Nucleation, propagation and cleavage of target RNAs in Ago silencing complexes;https://doi.org/10.1038/nature08434;May;2009;August;2009;;;October;2009;103;;
Origins and functional impact of copy number variation in the human genome;https://doi.org/10.1038/nature08516;August;2009;September;2009;October;2009;April;2010;38;16;176
A role for a neo-sex chromosome in stickleback speciation;https://doi.org/10.1038/nature08441;May;2009;August;2009;September;2009;October;2009;108;38;25
Reconstructing Indian population history;https://doi.org/10.1038/nature08365;April;2009;August;2009;;;September;2009;106;;
Role of the polycomb protein EED in the propagation of repressive histone marks;https://doi.org/10.1038/nature08398;June;2009;August;2009;September;2009;October;2009;51;38;18
Inhibitors selective for mycobacterial versus human proteasomes;https://doi.org/10.1038/nature08357;June;2009;August;2009;September;2009;October;2009;56;43;15
Tankyrase inhibition stabilizes axin and antagonizes Wnt signalling;https://doi.org/10.1038/nature08356;May;2009;July;2009;September;2009;October;2009;84;48;15
A luminal epithelial stem cell that is a cell of origin for prostate cancer;https://doi.org/10.1038/nature08361;April;2008;August;2009;September;2009;September;2009;481;35;15
Mitochondrial gene replacement in primate offspring and embryonic stem cells;https://doi.org/10.1038/nature08368;June;2009;August;2009;August;2009;September;2009;42;16;22
Co-translational mRNA decay in Saccharomyces cerevisiae;https://doi.org/10.1038/nature08265;June;2009;July;2009;August;2009;September;2009;35;48;18
An RNA-dependent RNA polymerase formed by TERT and the RMRP RNA;https://doi.org/10.1038/nature08283;May;2009;July;2009;August;2009;September;2009;43;44;18
Structures of the tRNA export factor in the nuclear and cytosolic states;https://doi.org/10.1038/nature08394;June;2009;August;2009;August;2009;September;2009;51;7;21
The structural basis of tail-anchored membrane protein recognition by Get3;https://doi.org/10.1038/nature08319;June;2009;July;2009;August;2009;September;2009;28;16;36
Architecture and secondary structure of an entire HIV-1 RNA genome;https://doi.org/10.1038/nature08237;May;2009;June;2009;;;August;2009;42;;
Developmental and species-divergent globin switching are driven by BCL11A;https://doi.org/10.1038/nature08243;April;2009;June;2009;August;2009;;;86;36;
Pore architecture and ion sites in acid-sensing ion channels and P2X receptors;https://doi.org/10.1038/nature08218;February;2009;June;2009;;;July;2009;109;;
Crystal structure of the ATP-gated P2X4 ion channel in the closed state;https://doi.org/10.1038/nature08198;February;2009;June;2009;;;July;2009;111;;
Specific pathways prevent duplication-mediated genome rearrangements;https://doi.org/10.1038/nature08217;March;2009;June;2009;July;2009;August;2009;106;43;22
Homotypic fusion of ER membranes requires the dynamin-like GTPase Atlastin;https://doi.org/10.1038/nature08280;April;2009;July;2009;July;2009;August;2009;84;13;25
High harmonic interferometry of multi-electron dynamics in molecules;https://doi.org/10.1038/nature08253;May;2008;July;2009;July;2009;August;2009;409;19;29
The genome of the blood fluke Schistosoma mansoni;https://doi.org/10.1038/nature08160;January;2009;May;2009;;;July;2009;124;;
The active form of DNA polymerase V is UmuD′2C–RecA–ATP;https://doi.org/10.1038/nature08178;April;2009;May;2009;;;July;2009;39;;
The Schistosoma japonicum genome reveals features of host–parasite interplay;https://doi.org/10.1038/nature08140;February;2009;May;2009;;;July;2009;92;;
Mechanisms promoting translocations in editing and switching peripheral B cells;https://doi.org/10.1038/nature08159;March;2009;May;2009;;;July;2009;77;;
Chd1 regulates open chromatin and pluripotency of embryonic stem cells;https://doi.org/10.1038/nature08212;April;2009;June;2009;July;2009;;;72;20;
miR-145 and miR-143 regulate smooth muscle cell fate and plasticity;https://doi.org/10.1038/nature08195;February;2009;June;2009;July;2009;August;2009;105;25;32
Telomerase modulates Wnt signalling by association with target gene chromatin;https://doi.org/10.1038/nature08137;January;2009;May;2009;;;July;2009;105;;
Cells keep a memory of their tissue origin during axolotl limb regeneration;https://doi.org/10.1038/nature08152;February;2009;May;2009;;;July;2009;85;;
GOLPH3 modulates mTOR signalling and rapamycin sensitivity in cancer;https://doi.org/10.1038/nature08109;October;2008;May;2009;;;June;2009;200;;
A newly discovered protein export machine in malaria parasites;https://doi.org/10.1038/nature08104;April;2009;April;2009;;;June;2009;19;;
A Jurassic ceratosaur from China helps clarify avian digital homologies;https://doi.org/10.1038/nature08124;January;2009;April;2009;;;June;2009;95;;
Argonaute HITS-CLIP decodes microRNA–mRNA interaction maps;https://doi.org/10.1038/nature08170;April;2009;May;2009;June;2009;;;54;19;
Adaptive prediction of environmental changes by microorganisms;https://doi.org/10.1038/nature08112;March;2009;May;2009;June;2009;July;2009;43;41;22
Distinctive chromatin in human sperm packages genes for embryo development;https://doi.org/10.1038/nature08162;March;2009;May;2009;June;2009;;;85;18;
CCR3 is a target for age-related macular degeneration diagnosis and therapy;https://doi.org/10.1038/nature08151;March;2009;May;2009;June;2009;July;2009;60;24;25
Histone H4 lysine 16 acetylation regulates cellular lifespan;https://doi.org/10.1038/nature08085;February;2009;April;2009;;;June;2009;77;;
Flipping of alkylated DNA damage bridges base and nucleotide excision repair;https://doi.org/10.1038/nature08076;January;2009;April;2009;;;June;2009;79;;
A soma-to-germline transformation in long-lived Caenorhabditis elegans mutants;https://doi.org/10.1038/nature08106;November;2008;May;2009;June;2009;June;2009;178;37;18
Chaperonin overexpression promotes genetic variation and enzyme evolution;https://doi.org/10.1038/nature08009;June;2008;March;2009;;;June;2009;289;;
Disease-corrected haematopoietic progenitors from Fanconi anaemia induced pluripotent stem cells;https://doi.org/10.1038/nature08129;January;2009;May;2009;May;2009;July;2009;114;17;32
Generation of transgenic non-human primates with germline transmission;https://doi.org/10.1038/nature08090;September;2008;April;2009;;;May;2009;215;;
Dual nature of the adaptive immune system in lampreys;https://doi.org/10.1038/nature08068;February;2009;April;2009;May;2009;June;2009;54;43;15
Evolution of pathogenicity and sexual reproduction in eight Candida genomes;https://doi.org/10.1038/nature08064;February;2009;April;2009;May;2009;June;2009;52;39;11
The origin of the electrostatic perturbation in acetoacetate decarboxylase;https://doi.org/10.1038/nature07938;September;2008;February;2009;May;2009;;;159;85;
Reconstitution of Rab- and SNARE-dependent membrane fusion by synthetic endosomes;https://doi.org/10.1038/nature08107;February;2009;May;2009;May;2009;June;2009;81;15;36
The Listeria transcriptional landscape from saprophytism to virulence;https://doi.org/10.1038/nature08080;March;2009;April;2009;May;2009;June;2009;37;20;32
Hippocampal theta oscillations are travelling waves;https://doi.org/10.1038/nature08010;February;2009;March;2009;May;2009;May;2009;39;60;11
A surface transporter family conveys the trypanosome differentiation signal;https://doi.org/10.1038/nature07997;February;2009;March;2009;;;May;2009;28;;
HDAC2 negatively regulates memory formation and synaptic plasticity;https://doi.org/10.1038/nature07925;November;2008;February;2009;;;May;2009;102;;
Bmi1 regulates mitochondrial function and the DNA damage response pathway;https://doi.org/10.1038/nature08040;March;2009;April;2009;April;2009;;;13;21;
Common genetic variants on 5p14.1 associate with autism spectrum disorders;https://doi.org/10.1038/nature07999;November;2008;March;2009;April;2009;May;2009;110;41;30
Driving fast-spiking cells induces gamma rhythm and controls sensory responses;https://doi.org/10.1038/nature08002;January;2009;April;2009;April;2009;June;2009;79;25;39
Select Drosophila glomeruli mediate innate olfactory attraction and aversion;https://doi.org/10.1038/nature07983;September;2008;March;2009;April;2009;May;2009;170;45;18
Kinetochore geometry defined by cohesion within the centromere;https://doi.org/10.1038/nature07876;September;2008;February;2009;;;April;2009;156;;
Design of protein-interaction specificity gives selective bZIP-binding peptides;https://doi.org/10.1038/nature07885;August;2008;February;2009;;;April;2009;187;;
Genome-wide analysis of Notch signalling in Drosophila by transgenic RNAi;https://doi.org/10.1038/nature07936;September;2008;February;2009;April;2009;April;2009;144;54;11
An inhibitor of NEDD8-activating enzyme as a new approach to treat cancer;https://doi.org/10.1038/nature07884;October;2008;February;2009;;;April;2009;115;;
Structure of the connexin 26 gap junction channel at 3.5 Å resolution;https://doi.org/10.1038/nature07869;October;2008;February;2009;;;April;2009;123;;
Autophagy regulates lipid metabolism;https://doi.org/10.1038/nature07976;November;2008;March;2009;April;2009;April;2009;123;20;29
Structural basis for leucine-rich nuclear export signal recognition by CRM1;https://doi.org/10.1038/nature07975;December;2008;March;2009;April;2009;April;2009;81;26;29
Crystal structure of human spliceosomal U1 snRNP at 5.5 Å resolution;https://doi.org/10.1038/nature07851;November;2008;February;2009;;;March;2009;86;;
The oldest articulated osteichthyan reveals mosaic gnathostome characters;https://doi.org/10.1038/nature07855;October;2008;January;2009;;;March;2009;110;;
Design and engineering of an O2 transport protein;https://doi.org/10.1038/nature07841;October;2008;January;2009;;;March;2009;91;;
Activation of CaMKII in single dendritic spines during long-term potentiation;https://doi.org/10.1038/nature07842;November;2008;January;2009;;;March;2009;81;;
The neural basis of Drosophila gravity-sensing and hearing;https://doi.org/10.1038/nature07810;June;2008;January;2009;;;March;2009;207;;
Tumours with PI3K activation are resistant to dietary restriction;https://doi.org/10.1038/nature07782;July;2008;January;2009;March;2009;April;2009;183;55;29
Molecular basis of transport and regulation in the Na+/betaine symporter BetP;https://doi.org/10.1038/nature07819;July;2008;January;2009;;;March;2009;187;;
Interhemispheric Atlantic seesaw response during the last deglaciation;https://doi.org/10.1038/nature07770;July;2008;January;2009;;;February;2009;165;;
A mechanosensitive transcriptional mechanism that controls angiogenesis;https://doi.org/10.1038/nature07765;October;2008;December;2008;;;February;2009;90;;
Tyrosine dephosphorylation of H2AX modulates apoptosis and survival decisions;https://doi.org/10.1038/nature07849;December;2008;February;2009;February;2009;April;2009;56;18;39
Membrane scission by the ESCRT-III complex;https://doi.org/10.1038/nature07836;January;2009;January;2009;February;2009;March;2009;23;23;18
APP binds DR6 to trigger axon pruning and neuron death via distinct caspases;https://doi.org/10.1038/nature07767;May;2008;December;2008;;;February;2009;221;;
ChIP-seq accurately predicts tissue-specific activity of enhancers;https://doi.org/10.1038/nature07730;October;2008;December;2008;;;February;2009;63;;
Life without a wall or division machine in Bacillus subtilis;https://doi.org/10.1038/nature07742;May;2008;December;2008;;;February;2009;214;;
Visualization of a missing link in retrovirus capsid assembly;https://doi.org/10.1038/nature07724;October;2008;December;2008;;;February;2009;49;;
The Sorghum bicolor genome and the diversification of grasses;https://doi.org/10.1038/nature07723;August;2008;December;2008;;;January;2009;111;;
Changes in the phase of the annual cycle of surface temperature;https://doi.org/10.1038/nature07675;April;2008;November;2008;;;January;2009;209;;
The nature of the globular- to fibrous-actin transition;https://doi.org/10.1038/nature07685;March;2008;November;2008;;;January;2009;246;;
A high-mobility electron-transporting polymer for printed transistors;https://doi.org/10.1038/nature07727;July;2008;December;2008;January;2009;February;2009;134;40;15
Adaptive immune features of natural killer cells;https://doi.org/10.1038/nature07665;October;2008;November;2008;January;2009;January;2009;32;48;18
Intersubunit coordination in a homomeric ring ATPase;https://doi.org/10.1038/nature07637;May;2008;November;2008;January;2009;January;2009;181;57;15
Cell-cycle restriction limits DNA damage and maintains self-renewal of leukaemia stem cells;https://doi.org/10.1038/nature07618;August;2008;October;2008;;;January;2009;88;;
Photon capture and signalling by melanopsin retinal ganglion cells;https://doi.org/10.1038/nature07682;September;2008;December;2008;December;2008;January;2009;95;23;15
Induced pluripotent stem cells from a spinal muscular atrophy patient;https://doi.org/10.1038/nature07677;September;2008;December;2008;December;2008;January;2009;75;20;25
Neural palmitoyl-proteomics reveals dynamic synaptic palmitoylation;https://doi.org/10.1038/nature07605;May;2008;October;2008;;;December;2008;155;;
SUMOylation regulates Rad18-mediated template switch;https://doi.org/10.1038/nature07587;February;2008;October;2008;;;December;2008;259;;
Geometric frustration in buckled colloidal monolayers;https://doi.org/10.1038/nature07595;July;2008;October;2008;;;December;2008;102;;
Structure of an argonaute silencing complex with a seed-containing guide DNA and target RNA duplex;https://doi.org/10.1038/nature07666;August;2008;November;2008;;;December;2008;112;;
WSTF regulates the H2A.X DNA damage response via a novel tyrosine kinase activity;https://doi.org/10.1038/nature07668;July;2008;November;2008;December;2008;January;2009;122;20;15
Quality control by the ribosome following peptide bond formation;https://doi.org/10.1038/nature07582;July;2008;October;2008;December;2008;January;2009;98;54;22
The unfolded protein response signals through high-order assembly of Ire1;https://doi.org/10.1038/nature07661;May;2008;November;2008;December;2008;February;2009;186;19;53
Antigenic variation in Giardia lamblia is regulated by RNA interference;https://doi.org/10.1038/nature07585;August;2008;October;2008;;;December;2008;47;;
Negative feedback that improves information transmission in yeast signalling;https://doi.org/10.1038/nature07513;December;2007;October;2008;;;December;2008;285;;
Efficient tumour formation by single human melanoma cells;https://doi.org/10.1038/nature07567;August;2008;October;2008;;;December;2008;54;;
Mitofusin 2 tethers endoplasmic reticulum to mitochondria;https://doi.org/10.1038/nature07534;July;2008;October;2008;;;December;2008;71;;
Ktu/PF13 is required for cytoplasmic pre-assembly of axonemal dyneins;https://doi.org/10.1038/nature07471;May;2008;September;2008;;;December;2008;129;;
Spliceosomal cleavage generates the 3′ end of telomerase RNA;https://doi.org/10.1038/nature07584;August;2008;October;2008;December;2008;December;2008;57;54;15
Alternative isoform regulation in human tissue transcriptomes;https://doi.org/10.1038/nature07509;June;2008;November;2008;November;2008;November;2008;132;25;0
Gibberellin-induced DELLA recognition by the gibberellin receptor GID1;https://doi.org/10.1038/nature07519;August;2008;October;2008;;;November;2008;36;;
Structure of the intact PPAR-γ–RXR-α nuclear receptor complex on DNA;https://doi.org/10.1038/nature07413;May;2008;October;2008;November;2008;November;2008;181;22;0
Identification of Holliday junction resolvases from humans and yeast;https://doi.org/10.1038/nature07470;August;2008;September;2008;;;November;2008;53;;
A role for Rhesus factor Rhcg in renal ammonium excretion and male fertility;https://doi.org/10.1038/nature07518;June;2008;September;2008;;;November;2008;107;;
The replisome uses mRNA as a primer after colliding with RNA polymerase;https://doi.org/10.1038/nature07527;August;2008;October;2008;November;2008;December;2008;39;44;22
Illumination controls differentiation of dopamine neurons regulating behaviour;https://doi.org/10.1038/nature07569;July;2008;October;2008;;;November;2008;85;;
Deconstructing voltage sensor function and pharmacology in sodium channels;https://doi.org/10.1038/nature07473;August;2008;September;2008;;;November;2008;39;;
Using temperature to analyse temporal dynamics in the songbird motor pathway;https://doi.org/10.1038/nature07448;May;2008;September;2008;;;November;2008;124;;
Accurate whole human genome sequencing using reversible terminator chemistry;https://doi.org/10.1038/nature07517;June;2008;October;2008;;;November;2008;100;;
DNA sequencing of a cytogenetically normal acute myeloid leukaemia genome;https://doi.org/10.1038/nature07485;May;2008;September;2008;;;November;2008;111;;
The diploid genome sequence of an Asian individual;https://doi.org/10.1038/nature07484;August;2008;October;2008;;;November;2008;42;;
HITS-CLIP yields genome-wide insights into brain alternative RNA processing;https://doi.org/10.1038/nature07488;May;2008;October;2008;November;2008;November;2008;151;30;25
Brain metabolism dictates the polarity of astrocyte control over arterioles;https://doi.org/10.1038/nature07525;April;2008;October;2008;October;2008;December;2008;192;19;43
BAX activation is initiated at a novel interaction site;https://doi.org/10.1038/nature07396;April;2008;September;2008;;;October;2008;143;;
Somatic mutations affect key pathways in lung adenocarcinoma;https://doi.org/10.1038/nature07423;June;2008;September;2008;;;October;2008;93;;
The cranial endoskeleton of Tiktaalik roseae;https://doi.org/10.1038/nature07189;November;2007;June;2008;;;October;2008;215;;
Structure of a complex of the ATPase SecA and the protein-translocation channel;https://doi.org/10.1038/nature07335;June;2008;July;2008;;;October;2008;55;;
Centrosome misorientation reduces stem cell division during ageing;https://doi.org/10.1038/nature07386;April;2008;September;2008;October;2008;December;2008;153;44;50
Comparative genomics of the neglected human malaria parasite Plasmodium vivax;https://doi.org/10.1038/nature07327;January;2008;August;2008;;;October;2008;203;;
SAP-controlled T–B cell interactions underlie germinal centre formation;https://doi.org/10.1038/nature07345;July;2008;August;2008;;;October;2008;38;;
Generation of pluripotent stem cells from adult human testis;https://doi.org/10.1038/nature07404;February;2008;September;2008;October;2008;;;230;20;
Speciation through sensory drive in cichlid fish;https://doi.org/10.1038/nature07285;April;2008;July;2008;;;October;2008;92;;
Early origins and evolution of microRNAs and Piwi-interacting RNAs in animals;https://doi.org/10.1038/nature07415;June;2008;September;2008;October;2008;October;2008;99;19;29
Frequency-modulated nuclear localization bursts coordinate gene regulation;https://doi.org/10.1038/nature07292;May;2008;July;2008;;;September;2008;64;;
Crystal structure of opsin in its G-protein-interacting conformation;https://doi.org/10.1038/nature07330;May;2008;August;2008;;;September;2008;71;;
Activity-dependent regulation of inhibitory synapse development by Npas4;https://doi.org/10.1038/nature07319;May;2008;July;2008;September;2008;October;2008;81;61;36
Sae2, Exo1 and Sgs1 collaborate in DNA double-strand break processing;https://doi.org/10.1038/nature07312;May;2008;August;2008;September;2008;October;2008;80;51;18
Glycogen synthase kinase 3 in MLL leukaemia maintenance and targeted therapy;https://doi.org/10.1038/nature07284;April;2008;July;2008;September;2008;October;2008;100;61;43
Broadband observations of the naked-eye γ-ray burst GRB 080319B;https://doi.org/10.1038/nature07270;May;2008;July;2008;;;September;2008;61;;
Trans-splicing in C. elegans generates the negative RNAi regulator ERI-6/7;https://doi.org/10.1038/nature07274;May;2008;July;2008;September;2008;September;2008;70;54;15
Comprehensive genomic characterization defines human glioblastoma genes and core pathways;https://doi.org/10.1038/nature07385;July;2008;September;2008;September;2008;October;2008;35;3;49
Amplitude spectroscopy of a solid-state artificial atom;https://doi.org/10.1038/nature07262;May;2008;July;2008;;;September;2008;61;;
Structure of the Tribolium castaneum telomerase catalytic subunit TERT;https://doi.org/10.1038/nature07283;June;2008;July;2008;August;2008;October;2008;50;39;32
Structural basis for specific cleavage of Lys 63-linked polyubiquitin chains;https://doi.org/10.1038/nature07254;May;2008;July;2008;August;2008;September;2008;74;47;18
Egalitarianism in young children;https://doi.org/10.1038/nature07155;March;2008;June;2008;;;August;2008;86;;
Misfolded proteins partition between two distinct quality control compartments;https://doi.org/10.1038/nature07195;January;2007;June;2008;;;August;2008;524;;
Major viral impact on the functioning of benthic deep-sea ecosystems;https://doi.org/10.1038/nature07268;May;2008;July;2008;;;August;2008;71;;
How Cooper pairs vanish approaching the Mott insulator in Bi2Sr2CaCu2O8+δ;https://doi.org/10.1038/nature07243;April;2008;July;2008;;;August;2008;87;;
Structure of the guide-strand-containing argonaute silencing complex;https://doi.org/10.1038/nature07315;April;2008;August;2008;August;2008;November;2008;109;21;78
In vivo reprogramming of adult pancreatic exocrine cells to β-cells;https://doi.org/10.1038/nature07314;June;2008;August;2008;August;2008;October;2008;41;21;36
Identification of ALK as a major familial neuroblastoma predisposition gene;https://doi.org/10.1038/nature07261;April;2008;July;2008;August;2008;October;2008;84;41;53
TMEM16A confers receptor-activated calcium-dependent chloride conductance;https://doi.org/10.1038/nature07313;May;2008;August;2008;August;2008;October;2008;81;19;67
PRDM16 controls a brown fat/skeletal muscle switch;https://doi.org/10.1038/nature07182;April;2008;June;2008;;;August;2008;58;;
The Trichoplax genome and the nature of placozoans;https://doi.org/10.1038/nature07191;December;2007;June;2008;;;August;2008;202;;
Structural insights into the evolutionary paths of oxylipin biosynthetic enzymes;https://doi.org/10.1038/nature07307;November;2007;August;2008;August;2008;September;2008;261;19;29
An intrinsic mechanism of corticogenesis from embryonic stem cells;https://doi.org/10.1038/nature07287;June;2008;July;2008;August;2008;September;2008;52;18;32
Type IV collagens regulate BMP signalling in Drosophila;https://doi.org/10.1038/nature07214;February;2008;June;2008;August;2008;September;2008;122;48;22
